Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Santiago-1,Unidad Popular,API,"('Mario', 'Candia', 'Henríquez')",600,0.15,,,
Santiago-1,Unidad Popular,PS,"('Víctor', 'Barberis', 'Yori')",10803,2.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Barberis_Yori
Santiago-1,Unidad Popular,IC,"('Luis', 'Osvaldo', 'Maira', 'Aguirre')",14092,3.64,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Osvaldo_Maira_Aguirre
Santiago-1,Unidad Popular,PS,"('Carmen', 'Lazo', 'Carrera')",28179,7.28,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Lazo_Carrera
Santiago-1,Unidad Popular,PR,"('Ignacio', 'Lagno', 'Castillo')",9839,2.54,,,
Santiago-1,Unidad Popular,PC,"('Gladys', 'del Carmen', 'Marín', 'Millie')",28144,7.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gladys_del_Carmen_Marín_Millie
Santiago-1,Unión Socialista Popular,USOPO,"('Óscar', 'Núñez', 'Bravo')",539,0.14,,,
Santiago-1,Válidamente emitidos,,(),387170,98.76,,,
Santiago-1,Nulos,,(),2453,0.62,,,
Santiago-1,Blancos,,(),2410,0.62,,,
Santiago-1,Total,,(),392033,100.0,,,
Santiago-2,Confederación de la Democracia,PN,"('Luciano', 'Vásquez', 'Muruaga')",52639,16.54,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Vásquez_Muruaga
Santiago-2,Confederación de la Democracia,PADENA,"('Benedicto', 'Flores', 'Neira')",11341,3.56,,,
Santiago-2,Confederación de la Democracia,PIR,"('José', 'Luis', 'Jorquera', 'Bolinaga')",3186,1.0,,,
Santiago-2,Confederación de la Democracia,PDC,"('Sergio', 'Saavedra', 'Viollier')",51298,16.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Saavedra_Viollier
