Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D58,Chile Limpio. Vote Feliz,0,0,0.0,0
D58,Válidamente emitidos,0,75564,100.0,0
D59,Concertación y Juntos Podemos por más Democracia,2,17736,43.3,1
D59,Coalición por el Cambio,2,23225,56.7,1
D59,Nueva Mayoría para Chile,0,0,0.0,0
D59,Chile Limpio. Vote Feliz,0,0,0.0,0
D59,Válidamente emitidos,0,40961,100.0,0
D60,Concertación y Juntos Podemos por más Democracia,2,27375,41.38,1
D60,Coalición por el Cambio,2,13835,20.91,0
D60,Nueva Mayoría para Chile,2,5800,8.77,0
D60,Chile Limpio. Vote Feliz,2,1075,1.62,0
D60,Candidatura Independiente,1,17512,26.47,1
D60,Candidatura Independiente,1,566,0.86,0
D60,Válidamente emitidos,0,66163,100.0,0
