Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
32,Coalición por el Cambio,RN,1,6998,7.75,0
32,Válidamente emitidos,,0,90298,100.0,0
33,Concertación y Juntos Podemos por más Democracia,PDC,1,38057,32.45,1
33,Concertación y Juntos Podemos por más Democracia,PRSD,1,22289,19.0,0
33,Coalición por el Cambio,UDI,1,26504,22.6,1
33,Coalición por el Cambio,RN,1,16721,14.26,0
33,Nueva Mayoría para Chile,PH,1,2275,1.94,0
33,Chile Limpio. Vote Feliz,PRI,1,4814,4.1,0
33,Válidamente emitidos,,0,117289,100.0,0
34,Concertación y Juntos Podemos por más Democracia,PRSD,1,5352,5.7,0
34,Concertación y Juntos Podemos por más Democracia,PDC,1,13194,14.05,0
34,Coalición por el Cambio,UDI,1,17130,18.24,1
34,Coalición por el Cambio,RN,1,11076,11.8,0
34,Chile Limpio. Vote Feliz,PRI,1,42771,45.55,1
34,Válidamente emitidos,,0,93894,100.0,0
35,Concertación y Juntos Podemos por más Democracia,PC,1,4011,5.14,0
35,Concertación y Juntos Podemos por más Democracia,PDC,1,30300,38.83,1
35,Coalición por el Cambio,RN,1,9746,12.49,0
35,Coalición por el Cambio,UDI,1,29622,37.96,1
35,Nueva Mayoría para Chile,PH,1,1275,1.63,0
35,Chile Limpio. Vote Feliz,PRI,2,3083,3.95,0
35,Válidamente emitidos,,0,78037,100.0,0
36,Concertación y Juntos Podemos por más Democracia,PDC,1,51476,42.93,1
36,Concertación y Juntos Podemos por más Democracia,PRSD,1,13766,11.48,0
36,Coalición por el Cambio,UDI,1,35732,29.8,1
36,Coalición por el Cambio,RN,1,11082,9.24,0
36,Nueva Mayoría para Chile,PH,1,1532,1.28,0
36,Válidamente emitidos,,0,119898,100.0,0
37,Concertación y Juntos Podemos por más Democracia,PRSD,1,11164,13.3,0
37,Concertación y Juntos Podemos por más Democracia,PS,1,31649,37.69,1
37,Coalición por el Cambio,RN,1,32864,39.14,1
37,Coalición por el Cambio,UDI,1,4937,5.88,0
37,Nueva Mayoría para Chile,PH,1,1474,1.76,0
37,Válidamente emitidos,,0,83967,100.0,0
38,Concertación y Juntos Podemos por más Democracia,PDC,1,29320,38.32,1
38,Coalición por el Cambio,RN,1,14606,19.09,0
38,Válidamente emitidos,,0,76507,100.0,0
39,Concertación y Juntos Podemos por más Democracia,PPD,1,38626,46.26,1
39,Concertación y Juntos Podemos por más Democracia,PC,1,3463,4.15,0
39,Coalición por el Cambio,UDI,1,22487,26.93,1
39,Coalición por el Cambio,RN,1,17609,21.09,0
39,Nueva Mayoría para Chile,PH,1,1306,1.56,0
39,Válidamente emitidos,,0,83491,100.0,0
40,Concertación y Juntos Podemos por más Democracia,PPD,1,32643,44.75,1
40,Concertación y Juntos Podemos por más Democracia,PC,1,2199,3.01,0
40,Coalición por el Cambio,UDI,1,19323,26.49,1
40,Coalición por el Cambio,RN,1,17737,24.31,0
40,Nueva Mayoría para Chile,PH,1,1047,1.44,0
40,Válidamente emitidos,,0,72949,100.0,0
41,Concertación y Juntos Podemos por más Democracia,PDC,1,22611,17.95,0
41,Concertación y Juntos Podemos por más Democracia,PRSD,1,24093,19.12,1
41,Coalición por el Cambio,UDI,1,31855,25.28,0
41,Coalición por el Cambio,RN,1,42385,33.64,1
41,Chile Limpio. Vote Feliz,PRI,1,1927,1.53,0
41,Válidamente emitidos,,0,125991,100.0,0
42,Concertación y Juntos Podemos por más Democracia,PDC,1,32174,28.61,1
42,Concertación y Juntos Podemos por más Democracia,PPD,1,26644,23.69,0
42,Coalición por el Cambio,UDI,1,17030,15.14,0
42,Coalición por el Cambio,RN,1,22861,20.33,1
42,Nueva Mayoría para Chile,PH,1,1601,1.42,0
