Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
15,Chile Limpio. Vote Feliz,PRI,"['Claudio', 'Poblete', 'Herrera']",1035,1.21,,
15,Chile Limpio. Vote Feliz,PRI,"['Nelson', 'de la Barra', 'Castro']",378,0.44,,
15,Candidatura Independiente,IND,"['Fernando', 'Rodríguez', 'Vicuña']",14622,17.05,,
15,Candidatura Independiente,IND,"['Fernando', 'Soto', 'Muñoz']",2485,2.9,,
15,Válidamente emitidos,,[],85760,100,,
16,Concertación y Juntos Podemos por más Democracia,PDC,"['Gabriel', 'Silber', 'Romo']",48333,29.39,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Silber_Romo
16,Concertación y Juntos Podemos por más Democracia,PS,"['Arturo', 'Martínez', 'Molina']",38649,23.5,,
16,Coalición por el Cambio,RN,"['Hernán', 'Ortiz', 'Gálvez']",13829,8.41,,
16,Coalición por el Cambio,UDI,"['Patricio', 'Melero', 'Abaroa']",58306,35.45,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa
16,Nueva Mayoría para Chile,PH,"['César', 'Alejandro', 'Montenegro', 'Ampuero']",5358,3.26,,
16,Válidamente emitidos,,[],164475,100,,
17,Concertación y Juntos Podemos por más Democracia,PPD,"['María', 'Antonieta', 'Saa', 'Díaz']",45798,32.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Antonieta_Saa_Díaz
17,Concertación y Juntos Podemos por más Democracia,PDC,"['Eugenio', 'Ortega', 'Frei']",19630,13.97,,
17,Coalición por el Cambio,RN,"['Karla', 'Rubilar', 'Barahona']",46572,33.15,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karla_Rubilar_Barahona
17,Coalición por el Cambio,UDI,"['Pablo', 'Jofré', 'Rivano']",15317,10.9,,
17,Nueva Mayoría para Chile,PH,"['Eugenio', 'Osorio', 'Contreras']",4811,3.42,,
17,Chile Limpio. Vote Feliz,PRI,"['Miguel', 'Angel', 'Miño', 'Lillo']",2678,1.91,,
17,Chile Limpio. Vote Feliz,MAS,"['Caroll', 'Cuellar', 'Godoy']",5663,4.03,,
17,Válidamente emitidos,,[],140469,100,,
18,Concertación y Juntos Podemos por más Democracia,IND,"['Claudio', 'Alejandro', 'Narea', 'Guajardo']",18731,12.45,,
18,Concertación y Juntos Podemos por más Democracia,PPD,"['Cristina', 'Girardi', 'Lavín']",51669,34.35,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín
18,Coalición por el Cambio,RN,"['Nicolás', 'Monckeberg', 'Díaz']",40782,27.11,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Monckeberg_Díaz
18,Coalición por el Cambio,UDI,"['Mario', 'Varela', 'Herrera']",6951,4.62,,
18,Nueva Mayoría para Chile,PH,"['Verónica', 'Torres', 'González']",2492,1.66,,
18,Nueva Mayoría para Chile,IND,"['René', 'Aucapán', 'Aucapán']",1350,0.9,,
18,Chile Limpio. Vote Feliz,PRI,"['Carlos', 'Enrique', 'Olivares', 'Zepeda']",16951,11.27,,
18,Chile Limpio. Vote Feliz,MAS,"['Ana', 'García', 'Sciaraffia']",6577,4.37,,
18,Candidatura Independiente,IND,"['Pablo', 'Pellegrini', 'Ripamonti']",4922,3.27,,
18,Válidamente emitidos,,[],150425,100,,
19,Concertación y Juntos Podemos por más Democracia,PS,"['Gonzalo', 'Durán', 'Baronti']",13329,12.99,,
19,Concertación y Juntos Podemos por más Democracia,PPD,"['Patricio', 'Hales', 'Dib']",39126,38.12,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Alejandro_Hales_Dib
19,Coalición por el Cambio,IND,"['Vlado', 'Mirosevic', 'Verdugo']",5148,5.02,,
19,Coalición por el Cambio,UDI,"['Claudia', 'Nogueira', 'Fernández']",38297,37.31,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudia_Nogueira_Fernández
