Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
42,Nueva Mayoría,PPD,"('Loreto', 'Carvajal', 'Ambiado')",18744.0,19.09,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Loreto_Carvajal_Ambiado
43,Alianza,UDI,"('Jorge', 'Ulloa', 'Aguillon')",25651.0,26.64,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Iván_Ulloa_Aguillón
43,Nueva Mayoría,PPD,"('Cristian', 'Campos', 'Jara')",29771.0,30.92,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cristian_Campos_Jara
44,Alianza,UDI,"('Enrique', 'van Rysselberghe', 'Herrera')",40721.0,25.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Van_Rysselberghe_Herrera
44,Nueva Mayoría,PDC,"('Jose', 'Miguel', 'Ortiz', 'Novoa')",59861.0,36.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Ortiz_Novoa
45,Nueva Mayoría,PS,"('Clemira', 'Pacheco', 'Rivas')",42711.0,41.59,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Clemira_Pacheco_Rivas
45,Nueva Mayoría,PDC,"('Marcelo', 'Chavez', 'Velasquez')",17131.0,16.68,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Omar_Chávez_Velásquez
46,Alianza,UDI,"('Ivan', 'Norambuena', 'Farias')",30806.0,34.97,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Ernesto_Norambuena_Farías
46,Nueva Mayoría,PS,"('Manuel', 'Monsalve', 'Benavides')",33688.0,38.24,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Zacarías_Monsalve_Benavides
47,Nueva Mayoría,PRSD,"('Jose', 'Perez', 'Arriagada')",53539.0,43.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Pérez_Arriagada
47,Nueva Mayoría,IND,"('Roberto', 'Poblete', 'Zapata')",15826.0,12.83,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Fortunato_Poblete_Zapata
48,Alianza,RN,"('Jorge', 'Rathgeb', 'Schifferli')",16449.0,26.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Evaldo_Rathgeb_Schifferli
48,Nueva Mayoría,PDC,"('Mario', 'Venegas', 'Cardenas')",22641.0,36.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Venegas_Cárdenas
49,Alianza,RN,"('Diego', 'Paulsen', 'Kehr')",16017.0,26.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Diego_Alfredo_Paulsen_Kehr
49,Nueva Mayoría,PDC,"('Fuad', 'Chahin', 'Valenzuela')",26584.0,43.65,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fuad_Eduardo_Chahin_Valenzuela
50,Alianza,RN,"('German', 'Becker', 'Alvear')",40011.0,33.41,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Germán_Becker_Alvear
50,Nueva Mayoría,PDC,"('Rene', 'Saffirio', 'Espinoza')",44111.0,36.83,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Fernando_Saffirio_Espinoza
51,Alianza,RN,"('Jose', 'Manuel', 'Edwards', 'Silva')",19445.0,32.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_Edwards_Silva
51,Nueva Mayoría,PPD,"('Joaquin', 'Tuma', 'Zedan')",22191.0,36.61,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Tuma_Zedan
52,Alianza,RN,"('Rene', 'Manuel', 'Garcia', 'Garcia')",14372.0,23.73,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Manuel_García_García
52,Nueva Mayoría,PRSD,"('Fernando', 'Meza', 'Moncada')",19375.0,31.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Meza_Moncada
53,Alianza,RN,"('Bernardo', 'Berger', 'Fett')",20836.0,25.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_José_Berger_Fett
53,Nueva Mayoría,PDC,"('Ivan', 'Flores', 'Garcia')",29366.0,36.24,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Alberto_Flores_García
54,Alianza,RN,"('Gonzalo', 'Fuenzalida', 'Figueroa')",13650.0,19.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Guillermo_Fuenzalida_Figueroa
54,Nueva Mayoría,PPD,"('Enrique', 'Jaramillo', 'Becker')",34538.0,49.88,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Jaramillo_Becker
55,Alianza,UDI,"('Javier', 'Hernandez', 'Hernandez')",19280.0,27.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ricardo_Hernández_Hernández
55,Nueva Mayoría,PDC,"('Sergio', 'Ojeda', 'Uribe')",24071.0,34.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Ojeda_Uribe
56,Alianza,UDI,"('Felipe', 'de Mussy', 'Hiriart')",15961.0,22.84,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_De_Mussy_Hiriart
56,Nueva Mayoría,PS,"('Fidel', 'Espinoza', 'Sandoval')",38554.0,55.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fidel_Edgardo_Espinoza_Sandoval
57,Alianza,UDI,"('Marisol', 'Turres', 'Figueroa')",19292.0,23.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisol_Turres_Figueroa
57,Nueva Mayoría,PDC,"('Patricio', 'Vallespin', 'Lopez')",37964.0,45.32,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Vallespín_López
58,Alianza,RN,"('Alejandro', 'Santana', 'Tirachini')",20526.0,32.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Santana_Tirachini
58,Nueva Mayoría,PS,"('Jenny', 'Alvarez', 'Vera')",23895.0,38.09,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jenny_Paola_Álvarez_Vera
59,Alianza,UDI,"('David', 'Sandoval', 'Plaza')",8595.0,23.88,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/David_Sandoval_Plaza
59,Nueva Mayoría,IND,"('Ivan', 'Fuentes', 'Castillo')",9128.0,25.36,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Aladino_Fuentes_Castillo
60,Candidatura Independiente,IND,"('Gabriel', 'Boric', 'Font')",15417.0,26.18,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Boric_Font
60,Nueva Mayoría,PDC,"('Juan', 'Enrique', 'Morano', 'Cornejo')",10760.0,18.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Enrique_Morano_Cornejo
