Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Araucanía Norte,Concertación de Partidos por la Democracia,PPD,"('Álvaro', 'Erich', 'Schnake', 'Silva')",30350,22.16,,,
Araucanía Norte,Concertación de Partidos por la Democracia,PR,"('Ricardo', 'Navarete', 'Betanzo')",39486,28.83,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Navarrete_Betanzo
Araucanía Norte,Democracia y Progreso,RN,"('Fernando', 'Maturana')",16563,12.09,,,
Araucanía Norte,Democracia y Progreso,RN,"('Francisco', 'Prat', 'Alemparte')",29619,21.63,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Prat_Alemparte
Araucanía Norte,Partido Nacional,IND,"('Guillermo', 'Santiago', 'García')",3627,2.65,,,
Araucanía Norte,Partido Nacional,IND,"('Patricio', 'Phillips', 'Peñafiel')",17304,12.64,,,
Araucanía Norte,Válidamente emitidos,,(),136949,100.0,,,
Araucanía Sur,Concertación de Partidos por la Democracia,PPD,"('Julio', 'Subercaseaux', 'Barros')",15102,6.09,,,
Araucanía Sur,Concertación de Partidos por la Democracia,PDC,"('Jorge', 'Exequiel', 'Lavandero', 'Illanes')",107328,43.29,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Exequiel_Lavandero_Illanes
Araucanía Sur,Democracia y Progreso,IND,"('Sergio', 'Eduardo', 'de Praga', 'Diez', 'Urzúa')",53868,21.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Eduardo_de_Praga_Diez_Urzúa
Araucanía Sur,Democracia y Progreso,IND,"('Víctor', 'Hernán', 'Carmine', 'Zúñiga')",26073,10.52,,,
Araucanía Sur,Partido del Sur,IND,"('Eduardo', 'Díaz', 'Herrera')",45584,18.38,,,
Araucanía Sur,Válidamente emitidos,,(),247955,100.0,,,
Los Lagos Norte,Concertación de Partidos por la Democracia,IND,"('Francisco', 'Rivas', 'Larraín')",40574,16.58,,,
Los Lagos Norte,Concertación de Partidos por la Democracia,PDC,"('Gabriel', 'Valdés', 'Subercaseaux')",102784,41.99,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Valdés_Subercaseaux
Los Lagos Norte,Democracia y Progreso,IND,"('Agustín', 'Acuña', 'Méndez')",22690,9.27,,,
Los Lagos Norte,Democracia y Progreso,IND,"('Enrique', 'Larré', 'Asenjo')",78713,32.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Larre_Asenjo
Los Lagos Norte,Válidamente emitidos,,(),244761,100.0,,,
Los Lagos Sur,Concertación de Partidos por la Democracia,PPD,"('Aniceto', 'Rodríguez', 'Arenas')",55321,25.96,,,
Los Lagos Sur,Concertación de Partidos por la Democracia,PDC,"('Sergio', 'Páez', 'Verdugo')",62468,29.31,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Páez_Verdugo
Los Lagos Sur,Democracia y Progreso,IND,"('Bruno', 'Guillermo', 'Siebert', 'Held')",66326,31.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Bruno_González_Julio
Los Lagos Sur,Democracia y Progreso,IND,"('Luis', 'Valentín', 'Ferrada', 'Valenzuela')",28991,13.6,,,
Los Lagos Sur,Válidamente emitidos,,(),213106,100.0,,,
Aysén,Concertación de Partidos por la Democracia,PPD,"('Hernán', 'Vodanovic', 'Schnake')",10856,29.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Vodanovic_Schnake
Aysén,Concertación de Partidos por la Democracia,PR,"('Hernán', 'Valencia', 'Gutiérrez')",9549,26.2,,,
Aysén,Democracia y Progreso,IND,"('Pablo', 'Galilea')",5538,15.2,,,
Aysén,Democracia y Progreso,RN,"('Hugo', 'Ortiz', 'de Filippi')",9324,25.59,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Ortiz_de_Filippi
Aysén,Alianza de Centro,AN,"('José', 'Ramón', 'Molina', 'Fuenzalida')",697,1.91,,,
Aysén,Liberal-Socialista Chileno,IND,"('Juan', 'Antonio', 'Torres', 'Araya')",234,0.64,,,
Aysén,Liberal-Socialista Chileno,PL,"('Guillermo', 'Toro', 'Albornoz')",244,0.67,,,
Aysén,Válidamente emitidos,,(),36442,100.0,,,
Magallanes,Concertación de Partidos por la Democracia,IND,"('Rolando', 'Calderón', 'Aránguiz')",17062,21.61,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rolando_Calderón_Aránguiz
Magallanes,Concertación de Partidos por la Democracia,PDC,"('José', 'Ruiz', 'de Giorgio')",35220,44.61,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Ruiz_de_Giorgio
Magallanes,Democracia y Progreso,IND,"('Luis', 'Danús', 'Covián')",19230,24.36,,,
Magallanes,Democracia y Progreso,RN,"('Eduardo', 'Doberti', 'Guic')",5332,6.75,,,
Magallanes,Alianza de Centro,IND,"('Gerardo', 'Álvarez', 'Rodríguez')",2099,2.66,,,
Magallanes,Válidamente emitidos,,(),78943,100.0,,,
Designados,Democracia y Progreso,SUPREMA,"('Ricardo', 'Martín', 'Díaz')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Martin_Díaz
Designados,Democracia y Progreso,SUPREMA,"('Carlos', 'Letelier', 'Bobadilla')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Roberto_Letelier_Bobadilla
Designados,Democracia y Progreso,COSENA,"('Santiago', 'Sinclair', 'Oyaneder')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_Sinclair_Oyaneder
Designados,Democracia y Progreso,COSENA,"('Ronald', 'Mc-Intyre', 'Mendoza')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ronald_Mc_Intyre_Mendoza
Designados,Democracia y Progreso,COSENA,"('Vicente', 'Huerta', 'Celis')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vicente_Enrique_Huerta_Celis
Designados,Democracia y Progreso,COSENA,"('César', 'Ruiz', 'Danyau')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Olga_Feliú_Segovia
Designados,Democracia y Progreso,SUPREMA,"('Olga', 'Feliú', 'Segovia')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Olga_Feliú_Segovia
Designados,Democracia y Progreso,RN,"('William', 'Thayer', 'Arteaga')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/William_Turpin_Thayer_Arteaga
Designados,Democracia y Progreso,UDI,"('Sergio', 'Fernández', 'Fernández')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Fernández_Fernández
